id,type,text1,text2,text3,notes
aEP_railway_gun,WEAPON,"星域中可以安装在普通槽位上口径最大的火炮之一，作为公司“先进武器计划”的产物，能用一次攻击就破坏大部分舰体，还有耳膜。——""它在第一次破坏力测试时直接穿透了检测器的护盾，摧毁了其后的发生器和幅能压力检测器，所以我们暂时...没有数据""",-FSF先进武器计划科研员的定期汇报,,
aEP_long_barrel_chaingunAP,WEAPON,"在弹头中安置高密度微型电池完全带走了子弹的穿透力，但带来了对护盾稳定性的破坏。在击中护盾后向其注入能量如同在水面激起波纹，显著增加维持护盾的难度。——""放心，不会只因为失误把箱子摔到地上就把你电成糊的""",-FSF先进武器计划科研员的会议记录,,
,,,,,
,,,,,
,,,,,
,,,,,
#战机说明,,,,,
,,,,,
aEP_ftr_sup_shield,SHIP,通用组盾无人机，大肆扩充了装甲，单纯为需要将甲板转换为正面战斗力的舰长而设计,,,;
aEP_repairing_drone,SHIP,分解者作为后勤舰的能力之一，应战场需求开发一种小型维修平台，用于在紧急状态下缓慢修复友军舰船的护甲，不能修复百分之50以上的部分和护卫舰。,,,
aEP_ftr_icp_gunship,SHIP,一种反战机设计的终极产物，配备数量众多且射界宽阔的机枪炮塔，使用EMP子弹瘫痪对手后，中间的光束主炮造成毁灭一击。这种对战机毫不留情的设计在飞行员中赢得了它的名声。尽管缺少持续性破甲能力和低速决定了对于反舰攻击非常尴尬。,,,
aEP_ftr_bom_attacker,SHIP,一种对舰攻击机，轻型框架给予其优秀的机动性，使用战舰级火炮对目标进行攻击。尽管总伤害可观，需要较长时间倾泻备弹且并不厚实的机体限制了它的发挥,,,
aEP_ftr_bom_nuke,SHIP,这种拥有厚重装甲和尾炮的战略轰炸机携带了一枚无动力反应炸弹，作为代价它飞的缓慢又迟钝。尽管有诸多缺点，反应炸弹不可阻挡的威力还是让它在摧毁固定目标上成为FSF最好的选择，当然也不要妄想击中任何可以移动的目标。,,,
aEP_anmian_drone,SHIP,原型是人之领某项无人机组盾测试项目失败处理设备时流出的单机样本，内置先进的幅能分流设备能将飞机护盾的压力转换到母舰上，FSF逆向工程后安装到了“暗面”级护卫舰中.比起原型加载了一个支援导弹发射系统，提供一点点火力支援。,,,
aEP_decompose_drone,SHIP,一种使用光束切割船体并回收补给的拆解无人机，使用了奢侈的360度护盾，在危险的战场上也能完成拆解作业。,,,
aEP_ftr_ftr_hvfighter,SHIP,携带一对大口径机炮的重型战斗机，破坏力足以撕开驱逐舰级别的舰体，同时也能通过战术系统进行爆发式推进以规避点防御火力，但较差的机动使之在战机间的较量中处于下风，通常只在已经取得制空权的战场上部署。,,,
aEP_ftr_sup_guardian,SHIP,一种近程截击无人机，在不要求作战半径的情况下，该型号战机得以拥有较高的极速和机动性以驱赶敌方小型舰船。其内置了一套爆发推动系统和临时护盾发生器，可以在紧急时刻以类似闪现的速度为附近友方舰船抵挡关键的弹丸。如果不是受人之领法律规定的受限计算核心，它的表现能更上一层,,,
aEP_ftr_sup_tank,SHIP,在这种支援飞行器用于在承受火力的同时制造伤害，减少友军舰船的压力。它的倾斜复合装甲能在承受任何伤害时快速修复，意味着只有单发就能穿透其装甲的弹丸才能实际侵入结构。炮塔提供了稳定的射击平台，会协同周围最大友方舰船尺寸提供百分之10/20/40/60的非PD武器射程加成。在有相同的材料与科技水平时，如果需要的只是防御和火力，为什么不在太空中建造坦克呢。,,,
,,,,,
#战机武器,,,,,
aEP_repairbeam_fighter,WEAPON,一种发射纳米材料激流的光束器，覆盖受损装甲后冷却固定，多用于战场紧急维修，无法将装甲修复到原本的强度,,,
aEP_tearing_beam_fighter,WEAPON,带有牵引力的切割光束，对完好的舰船几乎没有作用，但能快速切开已经损坏的残骸,,,
aEP_ftr_icp_gunship_gun,WEAPON,发射带有emp的动能子弹，用于在空战中破开护盾并瘫痪对手,,,
aEP_ftr_icp_gunship_beam,WEAPON,一种高能光束发生器，在半秒内就能烧穿大部分战机的装甲。对于装备对舰武器的战机而言这并不是什么难事，可贵的地方在于作为专门为战机设计的武器，能以炮塔的形式安装,,,
aEP_ftr_bom_attacker_gun,WEAPON,一种战舰级火炮，搭载在飞机上不仅占用了原本用于防护的负载，备弹也十分有限,,,
aEP_ftr_sup_shield_gun,WEAPON,低消耗的机枪，用于战机点防御,,,
aEP_ftr_bom_nuke_bomb,WEAPON,原子武器在星际时代并不是什么秘密，但将其压缩到一颗空雷中就是另一个故事了，这颗无比坚固反工事炸弹能摧毁最坚固的空间站和地面目标,,,
aEP_ftr_ftr_hvfighter_gun,WEAPON,这门机炮采用了高质量低初速的子弹，尽可能的增加弹头装药，这样做的代价是精度和有效射程的降低，在战机间对抗时难以命中,,,
aEP_ftr_sup_guardian_gun,WEAPON,一种战机用机炮，相比星域中更常见战机武器显得射速偏慢，但更大的口径多少能提供一些更好的效果,,,
aEP_ftr_sup_guardian_gun2,WEAPON,一种战机用机炮，相比星域中更常见战机武器显得射速偏慢，但更大的口径多少能提供一些更好的效果,,,
aEP_ftr_sup_guardian_gun3,WEAPON,一种战机用狙击武器，以较低的发射频率换取对在安全距离就对敌舰进行射击的能力,,,
aEP_ftr_sup_tank_main,WEAPON,轻量化的战舰武器安装在坦克的炮塔上，炮塔给予了超过其他所有平台的射击稳定性使其能瞄准更远地方的目标，但是太空中缺少抓地力，后坐力问题始终无法解决,,,
,,,,,
,,,,,
#势力&&星系,,,,,
aEP_FSF,FACTION,"快速Fast.安全Safe.实用Functional aka FSF公司是大崩塌后成立的一家以销售军火，代工舰船为主要业务的军事企业，其成立要追溯到大崩溃前一个颇有能量的走私集团，与许多人之领的装备测试部队均有关系，以高价向各种企业出售人之领的原型机。随着星门的失效，集团的上层被困在了处于英仙座的秘密仓库中。深知手中的力量远不足以保护仓库中珍贵的货物的他们，依靠仓库中成山的物资彻底的从星域纠纷中消失，以地下组织的身份，成立了FSF前身。

在相当长的一段时间里，借着大崩溃初期的混乱，他们暗地中吸纳英仙座受到冲击的科学家进入组织，以求能量产复制当时FSF手中最先进的一批原型舰，但直到第一次AI战争前，都没有更多的消息。

在第一次AI战争后的黄金时期，边缘世界殖民地保卫战中零星出现的一些人们从未见过的外贸战舰象征着FSF作为今天被人所知的、提供包括舰船制造、军事指导、武器贸易的巨型企业出现在英仙座的舞台。尽管一直以来他们都以遵循人之领法律单纯的巨型企业的身份在英仙座中左右逢源，但近年来直线上升的舰队总量显示了他们的野心。",,,
aEP_FSF_Relay,CUSTOM,这颗通讯中继器的位置非常不正常，型号也不是英仙座常见的人之领遗留的类型，但从功率和清晰度来看必然是人之领的造物。这个星系原先并没有任何成型的工程，自然不会有人之领时期的中继器。FSF公司想必从别处（或者就是自己的仓库）拖拽过来固定在行星轨道上。,,,
aEP_FSF_SaleStation,CUSTOM,快捷Fast，安全Safe，实用Functional是FSF公司的全称。此处是FSF公司对外的商业中心，也是FSF早期设立的轨道设施。选在了一个资源匮乏而空洞的星系，在漫长的时日中伴随着公司不断壮大，现在这里除了是人来人往的商业中心也是一个武装到牙齿的星际要塞。,,,
aEP_FSF_DefStation,CUSTOM,FSF在星系中心新建造的军事基地，它的出现象征着公司政策的改变。尽管FSF在许多年前就有了足以自保的实力，但并未维持较大规模的军队。这座军事基地的完工意味着其向军事化组织转变的完成。,,,
aEP_FSF_Homestar,PLANET,一颗平平无奇的褐矮星，其暗淡的性质使得观测比较困难。除此以外，或许只有贫乏能形容这个系统了，缺少开发价值的行星，甚至连小行星带也没有，长久以来这个系统一直淡出人们的视野。,,,
aEP_FSF_Homeplanet,PLANET,如果这颗行星能再靠近一些的话，会成为拥有宜居温度的行星，可惜现在这里是长昼夜，永远覆盖冰雪的不毛之地，即使穿戴整齐的防护设备也无法在这里停留太久的时间，在设立长期居住地会消耗大量的资源，是相当不明智的行为。它最引人注目的地方是地表上的巨大设施和宏伟的入口。鉴于FSF在第一次AI战争之前尚未出现，其建于大崩溃之前还是之后尚未可知，但可以证实的是在第一次AI战争前就已经存在，并在之后逐渐废弃，主要功能转移到轨道空间站上。或许是随着公司业务的扩张，行星恶劣的气候已经成为一个越发严重的问题。,,,
aEP_FSF_Companyplanet,PLANET,一颗典型的荒芜行星，拥有一定价值的矿物，同时也因为过于靠近恒星而开采成本极高，FSF公司围绕其新建了一个军事基地，在靠近恒星的战场上，一座功能完备，能长期抵御恒星辐射的堡垒确实是一个难啃的目标，或许这能解释为什么FSF愿意在此花巨资。,,,
aEP_IND_Homestar,PLANET,这颗红矮星发出热量不足以支撑任何一颗星球达到适宜的温度，寒冷笼罩着这个星系。光线的昏暗让任何在这个星系的工作都困难重重，也带来了棘手的海盗问题,,,
aEP_IND_Homeplanet,PLANET,"大部分边缘星系殖民地的名字如今唯一被人所知的方式就是出现在某个科技挖掘工地上的指示牌上。在核心星区都为了资源打成一团的混乱时代中，这些无暇顾及的地方在十年，二十年后留下的只有死寂。

Lamdor X行星的气温常年低于大部分设备的工作极限，在失去能源供应的二到三年内就失去了大部分人口，唯独太空港所在的城市依靠能够运行数个世纪的反物质熔炉——和其他失去生机聚集地剩下的物资存活了下来，坚持到重新与核心星区建立了联系。

鉴于之前发生在这颗行星上的悲剧，""远亲不如近邻""成为了大部分届当地政府外交的原则，自早期就与FSF建立了非常深度的防御合作关系，尽管双方坚持对方的独立性，但人员和设备交换确实非常频繁。",,,
,,,,,
aEP_IND_Pirateplanet,PLANET,没有特点的荒芜星球，曾经有对其的开发计划但是很快就被搁置,,,
aEP_IND_Piratestation,CUSTOM,鉴于Lamdor X行星和核心星区的距离，袭击往来的运输舰队是一件非常有赚头的生计，名义上这里是一处驿站，但实际上海盗控制了这里用来监听往来的运输队——或者是带着战利品来这里享受生活,,,
,,,,,
,,,,,
#物品,,,,,
aEP_remain_part,RESOURCE,由分解者级拆解可用材料时剩下的一些非标准，独一无二的零件，大多只能作为原材料进行回收。但FSF对它们非常感兴趣，可以在商业中心交换蓝图。当然直接出售也是一笔收入。,,,
aEP_FSF_CruiseMissile,CUSTOM,高速目标接近中！躲开它！,,,
,,,,,
#行星,,,,,
aEP_UndergroundStorage,CUSTOM,在这颗星球的地下有着一座设施齐备的基地，其中储备的资源足够其在与外界切断联系后也能坚持数个循环。殖民地的最低稳定度不会低于1点,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
